Academics,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Financial Literacy,Play Spent,,http://playspent.org
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Financial Literacy,Financial Football,,https://www.financialfootball.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Financial Literacy,SBCC,JR Colleges - Santa Barbara Community College,https://www.sbcc.edu
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Financial Literacy,Cuesta,JR Colleges - Cuesta College,http://cuesta.edu
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Financial Literacy,Las Positas College,,http://laspositascollege.edu
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Financial Literacy,Orange Coast College,,http://orangecoastcollege.edu
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Financial Literacy,Mount San Antonio College,,http://mtsac.edu 
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Financial Literacy,Taft College,,http://taftcollege.edu
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Vocational / Certification Programs,Edureka.Co,Top 10 Certification Programs,https://www.edureka.co/blog/top-10-certifications
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Vocational / Certification Programs,Get Educated,,https://www.geteducated.com/careers/highest-paying-jobs-without-a-degree
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Vocational / Certification Programs,Springboard,,https://www.springboard.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Vocational / Certification Programs,Simplilearn,,https://www.simplilearn.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Vocational / Certification Programs,CAL Berkeley Bootcamp,,https://bootcamp.berkeley.edu/techpm/landing
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Vocational / Certification Programs,HVAC Training,,https://hvactraining101.com/hvac-technician-certification
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Vocational / Certification Programs,ATP Flight School,,https://atpflightschool.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Vocational / Certification Programs,NAEC (Elevator Contractors),,https://www.naec.org/certification/qei-certification.html
Academics,LOW,TODO_LEARNING_PERSONALITY,Evaluate/Create,Vocational / Certification Programs,University of Phoenix,,https://www.phoenix.edu/programs/continuing-education/certificate-programs.html
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Technical Skills,Salary.com,,https://www.salary.com/research/job-description/benchmark/digital-marketing-analyst-i-job-description
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Technical Skills,Indeed.com,,https://www.indeed.com
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Technical Skills,Northeastern University,,https://www.northeastern.edu/graduate/blog/what-does-a-data-analyst-do
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Technical Skills,Glassdoor,,https://www.glassdoor.com/Job-Descriptions/Computer-Programmer.htm
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Technical Skills,Target Jobs,,https://targetjobs.co.uk/careers-advice/job-descriptions/454209-software-developer-job-description
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Technical Skills,Learning Path,,https://learningpath.org/articles/Sonographer
